month,handgun,prepawn_handgun,redemption_handgun,returned_handgun,rentals_handgun,private_sale_handgun,return_to_seller_handgun
2018-02,5034.0,0.0,166.0,11.0,0.0,16.0,0.0
2018-02,11031.0,32.0,2304.0,0.0,0.0,15.0,1.0
2018-02,23601.0,14.0,2143.0,206.0,0.0,93.0,1.0
2018-02,2834.0,1.0,556.0,54.0,0.0,13.0,1.0
2018-02,122.0,0.0,3.0,11.0,0.0,0.0,0.0
2018-02,5510.0,0.0,408.0,0.0,0.0,0.0,0.0
2018-02,5778.0,0.0,0.0,76.0,0.0,0.0,0.0
2018-02,4613.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,7244.0,10.0,666.0,38.0,0.0,13.0,0.0
2018-02,10345.0,1.0,60.0,27.0,2.0,408.0,7.0
2018-02,1642.0,22.0,2987.0,0.0,10.0,10.0,0.0
2018-02,1713.0,2.0,70.0,0.0,0.0,11.0,0.0
2018-02,30691.0,11.0,2014.0,54.0,0.0,47.0,1.0
2018-02,13836.0,17.0,2568.0,0.0,0.0,73.0,3.0
2018-02,15672.0,0.0,0.0,92.0,0.0,0.0,0.0
2018-02,51425.0,0.0,0.0,497.0,0.0,0.0,0.0
2018-02,1738.0,2.0,10.0,0.0,0.0,0.0,1.0
2018-02,1272.0,0.0,7.0,3.0,0.0,19.0,0.0
2018-02,12843.0,21.0,1498.0,150.0,0.0,29.0,1.0
2018-02,2844.0,1.0,219.0,0.0,0.0,3.0,0.0
2018-02,31159.0,0.0,0.0,37.0,0.0,0.0,0.0
2018-02,55634.0,91.0,9789.0,61.0,0.0,124.0,2.0
2018-02,4175.0,2.0,350.0,125.0,0.0,0.0,0.0
2018-02,1876.0,0.0,3.0,0.0,0.0,4.0,0.0
2018-02,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,26596.0,0.0,0.0,45.0,0.0,0.0,0.0
2018-02,17287.0,11.0,1729.0,423.0,0.0,940.0,8.0
2018-02,8193.0,17.0,1581.0,6.0,0.0,60.0,0.0
2018-02,15379.0,0.0,184.0,87.0,0.0,0.0,0.0
2018-02,1851.0,3.0,192.0,0.0,0.0,8.0,0.0
2018-01,5692.0,12.0,1050.0,0.0,0.0,22.0,2.0
2018-01,1844.0,0.0,170.0,18.0,0.0,13.0,0.0
2018-01,11659.0,10.0,1357.0,154.0,0.0,30.0,0.0
2018-01,4935.0,7.0,955.0,0.0,0.0,13.0,0.0
2018-01,37335.0,0.0,496.0,0.0,0.0,0.0,0.0
2018-01,17498.0,0.0,0.0,235.0,0.0,0.0,0.0
2018-01,5044.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,1422.0,0.0,28.0,86.0,0.0,61.0,2.0
2018-01,72.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,48377.0,13.0,2866.0,373.0,0.0,33.0,0.0
2018-01,10836.0,17.0,1671.0,0.0,0.0,35.0,0.0
2018-01,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,3001.0,8.0,300.0,44.0,0.0,12.0,0.0
2018-01,21821.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,17558.0,7.0,356.0,17.0,0.0,45.0,1.0
2018-01,119.0,0.0,1.0,38.0,0.0,1.0,0.0
2018-01,5249.0,4.0,585.0,19.0,0.0,11.0,0.0
2018-01,8202.0,16.0,1448.0,18.0,0.0,17.0,1.0
2018-01,8500.0,8.0,959.0,0.0,0.0,23.0,1.0
2018-01,2585.0,1.0,112.0,11.0,0.0,7.0,0.0
2018-01,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,4632.0,0.0,66.0,53.0,0.0,0.0,3.0
2018-01,4554.0,0.0,8.0,0.0,0.0,49.0,1.0
2018-01,8499.0,1.0,4.0,83.0,0.0,21.0,0.0
2018-01,4279.0,3.0,159.0,17.0,0.0,6.0,0.0
2018-01,6247.0,27.0,1276.0,0.0,0.0,8.0,1.0
2018-01,17240.0,6.0,1363.0,181.0,0.0,90.0,4.0
2018-01,1930.0,4.0,403.0,17.0,0.0,3.0,0.0
2018-01,106.0,0.0,7.0,11.0,0.0,0.0,0.0
2018-01,4280.0,0.0,318.0,0.0,0.0,0.0,0.0
2018-01,4277.0,0.0,0.0,53.0,0.0,0.0,0.0
2018-01,4309.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,4995.0,10.0,466.0,47.0,0.0,7.0,0.0
2018-01,9091.0,2.0,62.0,36.0,11.0,407.0,2.0
2018-01,1271.0,19.0,1853.0,0.0,7.0,7.0,0.0
2018-01,1331.0,0.0,48.0,0.0,0.0,9.0,1.0
2018-01,21340.0,14.0,1119.0,45.0,0.0,40.0,1.0
2018-01,9971.0,14.0,1705.0,0.0,0.0,65.0,2.0
2018-01,12689.0,0.0,0.0,126.0,0.0,0.0,0.0
2018-01,37308.0,0.0,0.0,645.0,0.0,0.0,0.0
2018-01,1693.0,4.0,12.0,0.0,0.0,3.0,1.0
2018-01,1010.0,0.0,2.0,4.0,0.0,18.0,2.0
2018-01,7896.0,8.0,941.0,69.0,0.0,29.0,0.0
2018-01,2217.0,2.0,139.0,0.0,0.0,3.0,1.0
2018-01,21023.0,0.0,0.0,54.0,0.0,0.0,0.0
2018-01,40443.0,56.0,5882.0,53.0,0.0,110.0,3.0
2018-01,3181.0,1.0,252.0,165.0,0.0,0.0,0.0
2018-01,1116.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,19443.0,0.0,0.0,25.0,0.0,0.0,0.0
2018-01,16327.0,16.0,1127.0,483.0,0.0,919.0,6.0
2018-01,5128.0,24.0,943.0,6.0,0.0,25.0,0.0
2018-01,10484.0,0.0,135.0,120.0,0.0,0.0,0.0
2018-01,1460.0,1.0,135.0,0.0,0.0,11.0,1.0
2017-12,12895.0,16.0,1195.0,0.0,0.0,37.0,0.0
2017-12,3675.0,4.0,172.0,36.0,0.0,16.0,0.0
2017-12,17566.0,14.0,1362.0,107.0,0.0,41.0,1.0
2017-12,9189.0,8.0,1049.0,0.0,0.0,23.0,0.0
2017-12,47613.0,0.0,497.0,0.0,0.0,0.0,0.0
2017-12,26649.0,0.0,0.0,183.0,0.0,0.0,0.0
2017-12,6646.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,2295.0,0.0,24.0,22.0,0.0,78.0,1.0
2017-12,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,68075.0,14.0,2997.0,308.0,0.0,27.0,0.0
2017-12,21017.0,20.0,1918.0,0.0,0.0,67.0,0.0
2017-12,90.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,5911.0,2.0,333.0,23.0,0.0,11.0,0.0
2017-12,27956.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,26719.0,11.0,390.0,6.0,0.0,56.0,2.0
2017-12,231.0,0.0,0.0,23.0,0.0,2.0,0.0
2017-12,9164.0,5.0,647.0,15.0,0.0,14.0,2.0
2017-12,16727.0,18.0,1636.0,11.0,0.0,37.0,1.0
2017-12,15819.0,7.0,1054.0,0.0,0.0,33.0,1.0
2017-12,3873.0,0.0,105.0,9.0,0.0,14.0,0.0
2017-12,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,4611.0,2.0,65.0,45.0,0.0,0.0,1.0
2017-12,5954.0,0.0,9.0,0.0,0.0,88.0,2.0
2017-12,13425.0,0.0,3.0,74.0,0.0,21.0,1.0
2017-12,5940.0,0.0,138.0,16.0,0.0,16.0,0.0
2017-12,12946.0,35.0,1626.0,0.0,0.0,33.0,1.0
2017-12,28561.0,14.0,1501.0,135.0,0.0,84.0,2.0
2017-12,4154.0,4.0,420.0,11.0,0.0,7.0,3.0
2017-12,197.0,0.0,6.0,7.0,0.0,0.0,0.0
2017-12,6236.0,0.0,333.0,1.0,0.0,0.0,0.0
2017-12,5977.0,0.0,0.0,69.0,0.0,0.0,0.0
2017-12,4039.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,8205.0,7.0,443.0,45.0,0.0,16.0,0.0
2017-12,10187.0,2.0,71.0,26.0,2.0,429.0,12.0
2017-12,2452.0,17.0,2169.0,0.0,4.0,12.0,0.0
2017-12,2019.0,3.0,61.0,0.0,0.0,8.0,0.0
2017-12,34374.0,14.0,1260.0,41.0,0.0,50.0,2.0
2017-12,17164.0,35.0,1817.0,0.0,0.0,66.0,0.0
2017-12,18409.0,0.0,0.0,133.0,0.0,0.0,0.0
2017-12,57826.0,0.0,0.0,497.0,0.0,0.0,0.0
2017-12,2291.0,4.0,5.0,0.0,0.0,0.0,1.0
2017-12,1169.0,0.0,1.0,0.0,0.0,15.0,1.0
2017-12,14549.0,11.0,1017.0,52.0,0.0,32.0,0.0
2017-12,3537.0,1.0,150.0,0.0,0.0,9.0,0.0
2017-12,37860.0,0.0,0.0,42.0,0.0,0.0,0.0
2017-12,70767.0,62.0,6325.0,37.0,0.0,127.0,0.0
2017-12,6429.0,0.0,260.0,150.0,0.0,0.0,0.0
2017-12,1722.0,0.0,3.0,0.0,0.0,5.0,0.0
2017-12,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,31084.0,0.0,0.0,11.0,0.0,0.0,0.0
2017-12,21090.0,12.0,1099.0,411.0,0.0,909.0,9.0
2017-12,10383.0,29.0,1022.0,4.0,0.0,41.0,0.0
2017-12,15745.0,0.0,137.0,68.0,0.0,0.0,0.0
2017-12,2763.0,1.0,122.0,0.0,0.0,6.0,0.0
2017-11,9927.0,15.0,1302.0,0.0,0.0,11.0,0.0
2017-11,3132.0,3.0,148.0,19.0,0.0,9.0,0.0
2017-11,13763.0,11.0,1328.0,118.0,0.0,21.0,0.0
2017-11,6981.0,14.0,1129.0,0.0,0.0,15.0,1.0
2017-11,44710.0,0.0,507.0,0.0,0.0,0.0,0.0
2017-11,23682.0,0.0,0.0,248.0,0.0,0.0,0.0
2017-11,5757.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,1802.0,1.0,32.0,1.0,0.0,48.0,0.0
2017-11,71.0,0.0,0.0,2.0,0.0,0.0,0.0
2017-11,61694.0,15.0,2983.0,317.0,0.0,35.0,1.0
2017-11,16298.0,17.0,1850.0,0.0,0.0,31.0,0.0
2017-11,71.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-11,4603.0,2.0,328.0,44.0,0.0,9.0,1.0
2017-11,26122.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,22558.0,14.0,361.0,15.0,0.0,55.0,0.0
2017-11,280.0,0.0,0.0,17.0,0.0,2.0,0.0
2017-11,7493.0,3.0,671.0,29.0,0.0,15.0,1.0
2017-11,12568.0,18.0,1733.0,4.0,0.0,26.0,1.0
2017-11,13566.0,9.0,1118.0,0.0,0.0,31.0,0.0
2017-11,3270.0,1.0,92.0,13.0,0.0,21.0,0.0
2017-11,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,4453.0,1.0,70.0,53.0,0.0,0.0,1.0
2017-11,5691.0,0.0,3.0,1.0,0.0,54.0,3.0
2017-11,14115.0,2.0,12.0,85.0,0.0,14.0,1.0
2017-11,5407.0,2.0,164.0,14.0,0.0,14.0,0.0
2017-11,9779.0,38.0,1610.0,0.0,0.0,16.0,0.0
2017-11,23099.0,19.0,1489.0,144.0,0.0,85.0,1.0
2017-11,3171.0,3.0,407.0,12.0,0.0,4.0,1.0
2017-11,216.0,1.0,4.0,11.0,0.0,0.0,0.0
2017-11,5350.0,1.0,317.0,1.0,0.0,0.0,0.0
2017-11,5266.0,0.0,0.0,67.0,0.0,0.0,0.0
2017-11,3771.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,7206.0,1.0,508.0,69.0,0.0,10.0,0.0
2017-11,9160.0,3.0,56.0,28.0,4.0,322.0,13.0
2017-11,2123.0,18.0,2104.0,0.0,6.0,12.0,0.0
2017-11,1924.0,3.0,67.0,0.0,0.0,6.0,0.0
2017-11,30973.0,12.0,1344.0,19.0,0.0,81.0,1.0
2017-11,15302.0,26.0,1830.0,0.0,0.0,73.0,2.0
2017-11,15988.0,0.0,0.0,135.0,0.0,0.0,0.0
2017-11,54967.0,0.0,0.0,576.0,0.0,0.0,0.0
2017-11,1926.0,5.0,6.0,0.0,0.0,2.0,0.0
2017-11,1082.0,0.0,3.0,1.0,0.0,12.0,1.0
2017-11,11512.0,5.0,1074.0,73.0,0.0,21.0,2.0
2017-11,3049.0,3.0,139.0,0.0,0.0,6.0,0.0
2017-11,31618.0,0.0,0.0,46.0,0.0,0.0,0.0
2017-11,59840.0,61.0,6259.0,66.0,0.0,116.0,3.0
2017-11,5158.0,1.0,263.0,131.0,0.0,0.0,0.0
2017-11,1231.0,0.0,1.0,0.0,0.0,2.0,0.0
2017-11,29.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-11,26229.0,0.0,0.0,9.0,0.0,0.0,0.0
2017-11,18326.0,20.0,1204.0,461.0,0.0,886.0,8.0
2017-11,7302.0,25.0,1122.0,1.0,0.0,29.0,1.0
2017-11,14237.0,0.0,146.0,37.0,0.0,0.0,0.0
2017-11,2165.0,4.0,145.0,0.0,0.0,7.0,1.0
2017-10,6144.0,15.0,1268.0,0.0,0.0,14.0,0.0
2017-10,3153.0,6.0,287.0,33.0,0.0,33.0,0.0
2017-10,10614.0,10.0,1351.0,104.0,0.0,30.0,1.0
2017-10,4873.0,11.0,1064.0,0.0,0.0,25.0,1.0
2017-10,39879.0,0.0,467.0,0.0,0.0,0.0,0.0
2017-10,17238.0,0.0,0.0,243.0,0.0,0.0,0.0
2017-10,5112.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,1602.0,2.0,30.0,0.0,0.0,50.0,0.0
2017-10,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,49568.0,9.0,3044.0,303.0,0.0,16.0,0.0
2017-10,12031.0,14.0,1779.0,0.0,0.0,35.0,0.0
2017-10,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-10,3310.0,5.0,366.0,25.0,0.0,9.0,0.0
2017-10,20093.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,15966.0,6.0,268.0,18.0,0.0,52.0,3.0
2017-10,126.0,0.0,0.0,21.0,0.0,0.0,0.0
2017-10,5003.0,7.0,584.0,17.0,0.0,14.0,1.0
2017-10,8758.0,11.0,1601.0,5.0,0.0,18.0,0.0
2017-10,9552.0,8.0,1065.0,0.0,0.0,23.0,4.0
2017-10,3076.0,2.0,103.0,15.0,0.0,13.0,0.0
2017-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,4332.0,0.0,54.0,57.0,0.0,0.0,1.0
2017-10,4950.0,1.0,4.0,4.0,0.0,59.0,3.0
2017-10,9807.0,1.0,6.0,149.0,0.0,18.0,0.0
2017-10,4834.0,2.0,171.0,12.0,0.0,10.0,1.0
2017-10,6690.0,38.0,1428.0,0.0,0.0,14.0,0.0
2017-10,17985.0,19.0,1422.0,145.0,0.0,77.0,2.0
2017-10,2578.0,1.0,404.0,10.0,0.0,8.0,0.0
2017-10,118.0,0.0,5.0,9.0,0.0,0.0,0.0
2017-10,4361.0,0.0,347.0,0.0,0.0,0.0,0.0
2017-10,4425.0,0.0,59.0,89.0,0.0,0.0,0.0
2017-10,3798.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,5651.0,4.0,472.0,48.0,0.0,11.0,0.0
2017-10,8501.0,0.0,50.0,26.0,2.0,368.0,7.0
2017-10,1501.0,13.0,1949.0,0.0,12.0,8.0,0.0
2017-10,1367.0,0.0,73.0,0.0,0.0,6.0,0.0
2017-10,22833.0,16.0,1267.0,26.0,0.0,48.0,0.0
2017-10,9485.0,20.0,1767.0,0.0,0.0,67.0,0.0
2017-10,12356.0,0.0,0.0,111.0,0.0,0.0,0.0
2017-10,43923.0,0.0,0.0,586.0,0.0,0.0,0.0
2017-10,1116.0,0.0,4.0,0.0,0.0,0.0,0.0
2017-10,937.0,0.0,2.0,7.0,0.0,16.0,3.0
2017-10,8269.0,12.0,1084.0,69.0,0.0,15.0,2.0
2017-10,2098.0,2.0,146.0,0.0,0.0,12.0,0.0
2017-10,21614.0,0.0,0.0,31.0,0.0,0.0,0.0
2017-10,41780.0,62.0,6502.0,109.0,0.0,87.0,3.0
2017-10,3075.0,0.0,252.0,147.0,0.0,0.0,0.0
2017-10,1324.0,0.0,3.0,0.0,0.0,1.0,0.0
2017-10,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,20450.0,0.0,0.0,24.0,0.0,0.0,0.0
2017-10,14867.0,3.0,1208.0,583.0,0.0,834.0,9.0
2017-10,5527.0,17.0,1034.0,3.0,0.0,22.0,0.0
2017-10,11834.0,0.0,148.0,40.0,0.0,0.0,0.0
2017-10,1321.0,0.0,166.0,0.0,0.0,4.0,0.0
2017-09,5734.0,15.0,1378.0,0.0,0.0,9.0,0.0
2017-09,2320.0,5.0,200.0,28.0,0.0,17.0,0.0
2017-09,11063.0,13.0,1474.0,82.0,0.0,38.0,0.0
2017-09,4347.0,12.0,1296.0,0.0,0.0,13.0,0.0
2017-09,37165.0,0.0,535.0,0.0,0.0,0.0,0.0
2017-09,15751.0,0.0,0.0,202.0,0.0,0.0,0.0
2017-09,4834.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,1414.0,0.0,26.0,0.0,0.0,55.0,1.0
2017-09,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,39199.0,18.0,3657.0,264.0,0.0,11.0,0.0
2017-09,10933.0,20.0,2038.0,0.0,0.0,17.0,0.0
2017-09,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2017-09,3058.0,0.0,386.0,27.0,0.0,7.0,3.0
2017-09,18290.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,16093.0,5.0,289.0,22.0,0.0,75.0,4.0
2017-09,151.0,0.0,4.0,25.0,0.0,1.0,0.0
2017-09,4518.0,3.0,663.0,10.0,0.0,16.0,0.0
2017-09,8112.0,16.0,1915.0,1.0,0.0,21.0,2.0
